회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장
102911488,1,0,59.0,0,0,0,50대,9764.0,분당구,구미동,0,1,1,매장C
1029179840,1,0,55.0,0,0,0,50대,1369852.0,수지구,풍덕천동,0,41,1,매장C
1029203968,1,0,42.0,0,0,0,40대,48626.0,기타,기타,0,2,1,매장B
1029320896,1,0,45.0,0,0,0,40대,4116.0,수지구,신봉동,0,1,1,매장C
1029415552,1,0,41.0,0,0,0,40대,3733.0,기타,기타,0,1,1,매장B
1029848000,1,0,55.0,0,0,0,50대,9380.0,수지구,풍덕천동,0,2,1,매장B
1030087424,1,0,57.0,0,0,0,50대,23738.0,기흥구,중동,0,2,1,매장A
103013568,1,0,55.0,0,0,0,50대,35608.0,수지구,상현동,0,4,1,매장B
1030271168,1,0,44.0,0,0,0,40대,200248.0,수지구,상현동,0,14,1,매장B
1030382528,1,0,46.0,0,0,0,40대,86531.0,분당구,수내동,0,3,1,매장C
1030503168,1,0,50.0,1,0,0,50대,497360.0,수지구,신봉동,0,24,1,매장D
1030573696,1,0,64.0,0,0,0,60대,16846.0,기타,기타,1,1,1,매장C
1030716608,1,1,29.0,0,0,0,20대이하,314443.0,수지구,동천동,0,15,0,매장A
1030729600,1,0,47.0,0,0,0,40대,396093.0,분당구,기타,0,24,1,매장A
1030818688,1,0,44.0,0,0,0,40대,107685.0,수지구,동천동,0,4,1,매장A
1030965312,1,0,59.0,1,0,0,50대,700293.0,수지구,상현동,0,35,1,매장B
1031186176,1,0,51.0,1,0,0,50대,572491.0,수지구,풍덕천동,0,17,1,매장C
1031195456,1,0,45.0,0,1,0,40대,78683.0,수지구,동천동,0,1,1,매장A
1031245568,1,1,52.0,0,0,0,50대,181297.0,수지구,상현동,0,8,1,매장B
1031767104,1,0,40.0,0,0,0,40대,117928.0,수지구,성복동,0,7,1,매장A
1031806080,1,0,57.0,0,0,0,50대,107207.0,중원구,금광동,0,3,1,매장A
1031863616,1,0,55.0,0,0,0,50대,11486.0,수지구,상현동,0,1,1,매장C
1031948992,1,0,44.0,0,0,0,40대,68344.0,수지구,동천동,0,5,1,매장A
1032097472,1,0,47.0,0,0,0,40대,225802.0,수지구,풍덕천동,0,14,1,매장C
1032179136,1,0,42.0,1,0,0,40대,1095769.0,수지구,풍덕천동,0,32,1,매장C
1032255232,1,0,45.0,0,0,0,40대,49010.0,분당구,정자동,0,3,1,매장C
1032466816,1,0,39.0,0,0,0,30대,82417.0,수지구,풍덕천동,0,4,0,매장B
1032552192,1,0,59.0,0,0,0,50대,1430776.0,수지구,동천동,0,43,1,매장A
1032606016,1,0,41.0,0,0,0,40대,36144.0,기타,기타,0,4,1,매장A
1032641280,1,0,38.0,0,0,0,30대,13114.0,수지구,동천동,0,2,0,매장A
1032734080,1,0,46.0,0,0,0,40대,81458.0,수지구,풍덕천동,0,8,1,매장C
1033040320,1,1,39.0,0,0,0,30대,412940.0,기흥구,보정동,0,6,0,매장B
1033086720,1,0,37.0,0,0,0,30대,265720.0,수지구,죽전동,0,10,0,매장D
1033149824,1,0,40.0,1,0,0,40대,483868.0,수지구,성복동,0,28,1,매장D
1033227776,1,0,62.0,0,0,0,60대,17038.0,수지구,신봉동,1,1,1,매장D
1033379968,1,0,38.0,0,0,0,30대,174020.0,수지구,풍덕천동,0,5,0,매장C
1033548864,1,0,67.0,0,0,0,60대,75716.0,수지구,동천동,1,4,1,매장A
1033682496,1,0,40.0,0,1,0,40대,333108.0,기타,기타,0,1,1,매장C
1033853248,1,0,44.0,0,0,0,40대,77247.0,수지구,상현동,0,4,1,매장B
1033962752,1,0,42.0,0,0,0,40대,29290.0,수지구,상현동,0,3,1,매장B
