회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,구매매장,간식,건강,과실,기타,반찬,생활용품,서류,수산,양념/가루,음료,잡곡,주곡,주류,채소,축산물,주말,평일,1회당평균구매물품수
595690624,1,0,49.0,0,0,0,40대,175840.0,수지구,풍덕천동,0,9,1,매장C,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2222222222222222,0.7777777777777777,1.6666666666666667
595709184,1,0,42.0,0,0,0,40대,57815.0,화성,기타,0,2,1,매장C,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,3.0
595724032,1,0,50.0,0,0,0,50대,22494.0,기흥구,중동,0,4,1,매장C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5
595883648,1,0,38.0,0,0,0,30대,12827.0,기타,기타,0,1,0,매장B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,3.0
596275264,1,0,41.0,0,0,0,40대,58295.0,수지구,풍덕천동,0,3,1,매장C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.2,0.2,0.3333333333333333,0.6666666666666666,1.6666666666666667
596416320,1,0,50.0,0,0,0,50대,65090.0,수지구,풍덕천동,0,2,1,매장C,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,0.5,0.5,2.0
596653888,1,0,35.0,0,0,0,30대,180624.0,화성,기타,0,8,0,매장A,0.23809523809523808,0.0,0.0,0.0,0.2857142857142857,0.047619047619047616,0.0,0.047619047619047616,0.0,0.19047619047619047,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.125,0.875,2.625
596726272,1,0,50.0,0,0,0,50대,858653.0,수지구,풍덕천동,0,28,1,매장C,0.046875,0.25,0.0,0.0,0.234375,0.015625,0.015625,0.015625,0.03125,0.15625,0.015625,0.046875,0.0,0.046875,0.125,0.39285714285714285,0.6071428571428572,2.2857142857142856
596982400,1,0,44.0,1,0,0,40대,502661.0,기흥구,언남동,0,22,1,매장C,0.12903225806451613,0.03225806451612903,0.03225806451612903,0.0,0.22580645161290322,0.0,0.0,0.0967741935483871,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,0.3548387096774194,0.3181818181818182,0.6818181818181819,1.4090909090909092
59727936,1,0,47.0,0,0,0,40대,8614.0,수지구,풍덕천동,0,1,1,매장C,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,2.0
59755776,1,0,62.0,0,0,0,60대,42979.0,수지구,상현동,1,4,1,매장B,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.25,0.75,1.25
597578176,1,0,64.0,0,0,0,60대,84616.0,수지구,성복동,1,7,1,매장C,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.3076923076923077,0.15384615384615385,0.2857142857142857,0.7142857142857142,1.8571428571428568
