,회원번호,조합원상태,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,연령대,구매금액,구,동,연령60이상,방문횟수,연령대_4560대,1회당평균구매물품수
3331,1484510464,1,0,42.0,0,0,0,40대,8519.0,기흥구,상갈동,0,3,1,1.3333333333333333
3332,1484710912,1,0,35.0,0,0,0,30대,65760.0,수지구,상현동,0,6,0,1.3333333333333333
3333,1484838976,1,0,39.0,0,0,0,30대,247723.0,수지구,풍덕천동,0,13,0,2.4615384615384617
3334,1484985600,1,0,35.0,0,0,0,30대,206193.0,수지구,풍덕천동,0,16,0,1.9375
3335,1485113664,1,0,54.0,0,0,0,50대,32353.0,수지구,성복동,0,1,1,5.0
3336,1485182336,0,0,47.0,0,0,0,40대,0.0,서울 송파구,기타,0,1,1,0.0
3337,1485199040,1,0,71.0,0,0,0,70대이상,150474.0,수지구,풍덕천동,1,3,0,3.0
3338,148535680,1,0,75.0,0,0,0,70대이상,168278.0,기타,기타,1,6,0,2.0
3339,1485356800,1,0,71.0,0,0,0,70대이상,22781.0,수지구,풍덕천동,1,2,0,1.5
3340,1485419904,1,0,51.0,0,0,0,50대,581115.0,수지구,풍덕천동,0,17,1,1.2941176470588236
3341,1485494144,1,0,60.0,0,0,0,60대,4020.0,수지구,성복동,1,1,1,1.0
3342,1485505280,1,0,23.0,0,0,0,20대이하,443876.0,수지구,풍덕천동,0,42,0,1.9
3343,1485629632,1,0,37.0,0,0,0,30대,362672.0,수지구,풍덕천동,0,25,0,2.12
3344,148602496,1,0,62.0,1,0,0,60대,380491.0,수지구,성복동,1,12,1,2.4166666666666665
3345,1486030528,1,0,38.0,0,0,0,30대,74471.0,수지구,상현동,0,3,0,1.0
3346,1486069504,1,0,32.0,0,0,0,30대,28142.0,수지구,풍덕천동,0,2,0,1.0
3347,1486099200,1,0,43.0,0,0,0,40대,82132.0,기흥구,동백동,0,2,1,1.5
3348,1486600320,1,0,42.0,0,0,0,40대,227719.0,수지구,동천동,0,15,1,1.9333333333333333
3349,1486604032,1,0,32.0,0,0,0,30대,3829.0,수지구,풍덕천동,0,1,0,1.0
3350,1486717248,1,0,49.0,0,0,0,40대,126159.0,수지구,신봉동,0,4,1,2.025
3351,1486746944,1,0,38.0,0,0,0,30대,189335.0,수지구,신봉동,0,6,0,2.1666666666666665
3352,1486772928,1,0,32.0,0,0,0,30대,13401.0,수지구,풍덕천동,0,2,0,2.0
3353,1486984512,1,0,34.0,0,0,0,30대,28716.0,수원 영통구,기타,0,1,0,2.0
3354,1487118144,1,0,37.0,0,0,0,30대,92725.0,수지구,풍덕천동,0,9,0,1.3333333333333333
3355,1487296320,1,0,58.0,0,0,0,50대,904235.0,수지구,상현동,0,30,1,2.703333333333333
3356,1487309312,1,0,54.0,0,0,0,50대,27376.0,수지구,상현동,0,2,1,1.5
3357,1487687936,1,0,37.0,0,0,0,30대,24600.0,중원구,성남동,0,1,0,3.0
3358,1487795584,1,1,37.0,0,0,0,30대,102613.0,수지구,상현동,0,5,0,3.0
3359,1487799296,1,0,75.0,0,0,0,70대이상,95337.0,수지구,상현동,1,5,0,2.0
3360,1487810432,1,0,41.0,0,0,0,40대,108354.0,수지구,풍덕천동,0,11,1,1.6363636363636365
3361,1487847552,1,0,47.0,0,0,0,40대,37810.0,수지구,성복동,0,3,1,1.3333333333333333
3362,1487925504,1,0,36.0,0,0,0,30대,129509.0,수지구,상현동,0,8,0,1.625
3363,1487936640,1,0,46.0,0,0,0,40대,389772.0,수지구,상현동,0,12,1,2.9166666666666665
3364,1488066560,1,0,46.0,0,0,0,40대,147698.0,수지구,신봉동,0,14,1,2.0714285714285716
3365,1488085120,1,1,50.0,0,0,0,50대,36853.0,기타,기타,0,1,1,5.0
3366,1488281856,1,0,35.0,0,0,0,30대,32355.0,수지구,풍덕천동,0,4,0,1.75
3367,1488435904,1,0,36.0,0,0,0,30대,214850.0,수지구,풍덕천동,0,10,0,3.4
3368,1488480448,1,0,33.0,0,0,0,30대,157655.0,기타,기타,0,11,0,1.8181818181818181
3369,1488599232,1,0,63.0,0,0,0,60대,75046.0,기타,기타,1,4,1,2.75
3370,1488788544,1,0,38.0,0,0,0,30대,12443.0,기타,기타,0,1,0,2.0
3371,1488912896,1,0,33.0,0,0,0,30대,148751.0,수지구,풍덕천동,0,16,0,1.9375
3372,1489011264,0,0,50.0,0,0,0,50대,16272.0,수지구,상현동,0,1,1,3.0
3373,1489113344,1,0,49.0,0,0,0,40대,156027.0,수지구,상현동,0,11,1,1.7272727272727273
3374,1489506816,1,0,34.0,0,0,0,30대,217572.0,기타,기타,0,16,0,2.00625
3375,1489532800,1,0,50.0,0,0,0,50대,17230.0,수지구,기타,0,1,1,1.0
3376,1489549504,1,0,49.0,0,0,0,40대,5743.0,수지구,풍덕천동,0,1,1,1.0
3377,1489670144,1,0,61.0,1,0,0,60대,577866.0,수지구,신봉동,1,24,1,2.375
3378,1489672000,1,0,53.0,0,0,0,50대,118694.0,수지구,동천동,0,1,1,1.0
